127.0.0.1 - - [18/May/2017:14:12:06 +0530] "" 400 1797
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:16 +0530] "GET /FrontPage.MyFirstSuite?suite HTTP/1.1" 200 8543
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:49 +0530] "GET /ErrorLogs.FrontPage.MyFirstSuite HTTP/1.1" 200 15094
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/javascript/mousetrap.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/question.mark/question.mark.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:50 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/question.mark/question.mark.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/css/fitnesse_wiki.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/wysiwyg/wysiwyg.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/css/fitnesse_straight.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/javascript/jquery-1.7.2.min.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/css/fitnesse_pages.css HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/javascript/fitnesse_straight.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/javascript/fitnesse.js HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:13:59 +0530] "GET /files/fitnesse/images/fitnesse-logo.png HTTP/1.1" 304 0
0:0:0:0:0:0:0:1 - - [18/May/2017:14:14:00 +0530] "GET /files/fitnesse/images/checkmark.png HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [18/May/2017:14:14:00 +0530] "GET /FrontPage.MyFirstSuite?suite HTTP/1.1" 200 9324
